symbol,timestamp,open,high,low,close
EURUSD=X,2021-03-24,0.84652,0.84928,0.84550,0.84656
EURUSD=X,2021-03-23,0.84455,0.84655,0.84386,0.84462
EURUSD=X,2021-03-22,0.83801,0.84291,0.83752,0.83800
EURUSD=X,2021-03-21,0.84142,0.84207,0.83772,0.84157
EURUSD=X,2021-03-18,0.83913,0.84215,0.83779,0.83909
EURUSD=X,2021-03-17,0.83466,0.83970,0.83415,0.83457
EURUSD=X,2021-03-16,0.84020,0.84124,0.83917,0.84026
EURUSD=X,2021-03-15,0.83845,0.84149,0.83677,0.83862
EURUSD=X,2021-03-14,0.83679,0.83954,0.83578,0.83689
EURUSD=X,2021-03-11,0.83466,0.83970,0.83416,0.83466
EURUSD=X,2021-03-10,0.83860,0.83921,0.83489,0.83861
EURUSD=X,2021-03-09,0.84061,0.84260,0.83861,0.84053
EURUSD=X,2021-03-08,0.84378,0.84491,0.83934,0.84380
EURUSD=X,2021-03-07,0.83868,0.84413,0.83813,0.83857
EURUSD=X,2021-03-04,0.83556,0.84053,0.83556,0.83562
EURUSD=X,2021-03-03,0.83002,0.83169,0.82903,0.82994
EURUSD=X,2021-03-02,0.82751,0.83029,0.82574,0.82750
EURUSD=X,2021-03-01,0.82997,0.83380,0.82784,0.83003
EURUSD=X,2021-02-28,0.82712,0.83130,0.82640,0.82723
EURUSD=X,2021-02-25,0.82240,0.82713,0.82088,0.82238
EURUSD=X,2021-02-24,0.82174,0.82264,0.81693,0.82164
EURUSD=X,2021-02-23,0.82295,0.82572,0.82143,0.82291
EURUSD=X,2021-02-22,0.82209,0.82396,0.82117,0.82196
EURUSD=X,2021-02-21,0.82486,0.82701,0.82276,0.82469
EURUSD=X,2021-02-18,0.82705,0.82775,0.82347,0.82704
EURUSD=X,2021-02-17,0.83021,0.83091,0.82720,0.83022
EURUSD=X,2021-02-16,0.82727,0.83162,0.82660,0.82700
EURUSD=X,2021-02-15,0.82427,0.82678,0.82179,0.82426
EURUSD=X,2021-02-14,0.82508,0.82530,0.82340,0.82501
EURUSD=X,2021-02-11,0.82444,0.82760,0.82420,0.82439
EURUSD=X,2021-02-10,0.82515,0.82563,0.82317,0.82520
EURUSD=X,2021-02-09,0.82533,0.82583,0.82349,0.82535
EURUSD=X,2021-02-08,0.82983,0.82990,0.82548,0.82974
EURUSD=X,2021-02-07,0.82996,0.83195,0.82892,0.83001
EURUSD=X,2021-02-04,0.83571,0.83661,0.83056,0.83567
EURUSD=X,2021-02-03,0.83045,0.83565,0.83039,0.83077
EURUSD=X,2021-02-02,0.83067,0.83304,0.82991,0.83068
EURUSD=X,2021-02-01,0.82870,0.83202,0.82731,0.82857
EURUSD=X,2021-01-31,0.82496,0.82862,0.82403,0.82488
EURUSD=X,2021-01-28,0.82501,0.82686,0.82274,0.82511
EURUSD=X,2021-01-27,0.82615,0.82769,0.82362,0.82623
EURUSD=X,2021-01-26,0.82219,0.82910,0.82174,0.82222
EURUSD=X,2021-01-25,0.82361,0.82590,0.82140,0.82345
EURUSD=X,2021-01-24,0.82186,0.82532,0.82085,0.82179
EURUSD=X,2021-01-21,0.82205,0.82293,0.82055,0.82210
EURUSD=X,2021-01-20,0.82553,0.82583,0.82162,0.82542
EURUSD=X,2021-01-19,0.82378,0.82801,0.82256,0.82385
EURUSD=X,2021-01-18,0.82795,0.82795,0.82343,0.82799
EURUSD=X,2021-01-17,0.82874,0.82954,0.82741,0.82869
EURUSD=X,2021-01-14,0.82298,0.82754,0.82225,0.82305
EURUSD=X,2021-01-13,0.82229,0.82559,0.82163,0.82227
EURUSD=X,2021-01-12,0.81907,0.82277,0.81817,0.81912
EURUSD=X,2021-01-11,0.82230,0.82386,0.82115,0.82234
EURUSD=X,2021-01-10,0.82055,0.82414,0.81972,0.82067
EURUSD=X,2021-01-07,0.81510,0.81873,0.81422,0.81506
EURUSD=X,2021-01-06,0.81056,0.81659,0.81010,0.81045
EURUSD=X,2021-01-05,0.81314,0.81524,0.80983,0.81303
EURUSD=X,2021-01-04,0.81616,0.81659,0.81337,0.81629
EURUSD=X,2021-01-03,0.81645,0.81709,0.81247,0.81634
EURUSD=X,2020-12-31,0.83445,0.84585,0.81649,0.83445
